week,time,count
Monday,00:00:00-00:15:00,49
,00:15:00-00:30:00,26
,00:30:00-00:45:00,37
,00:45:00-01:00:00,41
,01:00:00-01:15:00,49
,01:15:00-01:30:00,16
,01:30:00-01:45:00,16
,01:45:00-02:00:00,27
,02:00:00-02:15:00,20
,02:15:00-02:30:00,17
,02:30:00-02:45:00,38
,02:45:00-03:00:00,10
,03:00:00-03:15:00,17
,03:15:00-03:30:00,22
,03:30:00-03:45:00,21
,03:45:00-04:00:00,22
,04:00:00-04:15:00,16
,04:15:00-04:30:00,9
,04:30:00-04:45:00,10
,04:45:00-05:00:00,18
,05:00:00-05:15:00,19
,05:15:00-05:30:00,3
,05:30:00-05:45:00,15
,05:45:00-06:00:00,14
,06:00:00-06:15:00,11
,06:15:00-06:30:00,14
,06:30:00-06:45:00,17
,06:45:00-07:00:00,17
,07:00:00-07:15:00,12
,07:15:00-07:30:00,19
,07:30:00-07:45:00,26
,07:45:00-08:00:00,5
,08:00:00-08:15:00,20
,08:15:00-08:30:00,18
,08:30:00-08:45:00,17
,08:45:00-09:00:00,21
,09:00:00-09:15:00,18
,09:15:00-09:30:00,25
,09:30:00-09:45:00,26
,09:45:00-10:00:00,31
,10:00:00-10:15:00,42
,10:15:00-10:30:00,43
,10:30:00-10:45:00,36
,10:45:00-11:00:00,41
,11:00:00-11:15:00,66
,11:15:00-11:30:00,32
,11:30:00-11:45:00,53
,11:45:00-12:00:00,48
,12:00:00-12:15:00,50
,12:15:00-12:30:00,49
,12:30:00-12:45:00,66
,12:45:00-13:00:00,36
,13:00:00-13:15:00,69
,13:15:00-13:30:00,70
,13:30:00-13:45:00,73
,13:45:00-14:00:00,55
,14:00:00-14:15:00,75
,14:15:00-14:30:00,43
,14:30:00-14:45:00,79
,14:45:00-15:00:00,53
,15:00:00-15:15:00,56
,15:15:00-15:30:00,65
,15:30:00-15:45:00,52
,15:45:00-16:00:00,62
,16:00:00-16:15:00,76
,16:15:00-16:30:00,55
,16:30:00-16:45:00,56
,16:45:00-17:00:00,53
,17:00:00-17:15:00,52
,17:15:00-17:30:00,58
,17:30:00-17:45:00,60
,17:45:00-18:00:00,49
,18:00:00-18:15:00,65
,18:15:00-18:30:00,52
,18:30:00-18:45:00,73
,18:45:00-19:00:00,62
,19:00:00-19:15:00,76
,19:15:00-19:30:00,34
,19:30:00-19:45:00,70
,19:45:00-20:00:00,47
,20:00:00-20:15:00,50
,20:15:00-20:30:00,33
,20:30:00-20:45:00,45
,20:45:00-21:00:00,36
,21:00:00-21:15:00,32
,21:15:00-21:30:00,19
,21:30:00-21:45:00,38
,21:45:00-22:00:00,33
,22:00:00-22:15:00,22
,22:15:00-22:30:00,34
,22:30:00-22:45:00,25
,22:45:00-23:00:00,30
,23:00:00-23:15:00,21
,23:15:00-23:30:00,18
,23:30:00-23:45:00,24
,23:45:00-00:00:00,17
Tuesday,00:00:00-00:15:00,18
,00:15:00-00:30:00,13
,00:30:00-00:45:00,15
,00:45:00-01:00:00,15
,01:00:00-01:15:00,8
,01:15:00-01:30:00,9
,01:30:00-01:45:00,4
,01:45:00-02:00:00,9
,02:00:00-02:15:00,11
,02:15:00-02:30:00,3
,02:30:00-02:45:00,2
,02:45:00-03:00:00,2
,03:00:00-03:15:00,5
,03:15:00-03:30:00,1
,03:30:00-03:45:00,7
,03:45:00-04:00:00,2
,04:00:00-04:15:00,7
,04:15:00-04:30:00,7
,04:30:00-04:45:00,4
,04:45:00-05:00:00,5
,05:00:00-05:15:00,9
,05:15:00-05:30:00,7
,05:30:00-05:45:00,9
,05:45:00-06:00:00,14
,06:00:00-06:15:00,12
,06:15:00-06:30:00,10
,06:30:00-06:45:00,29
,06:45:00-07:00:00,48
,07:00:00-07:15:00,53
,07:15:00-07:30:00,48
,07:30:00-07:45:00,74
,07:45:00-08:00:00,88
,08:00:00-08:15:00,91
,08:15:00-08:30:00,87
,08:30:00-08:45:00,127
,08:45:00-09:00:00,128
,09:00:00-09:15:00,105
,09:15:00-09:30:00,88
,09:30:00-09:45:00,72
,09:45:00-10:00:00,38
,10:00:00-10:15:00,63
,10:15:00-10:30:00,39
,10:30:00-10:45:00,45
,10:45:00-11:00:00,44
,11:00:00-11:15:00,55
,11:15:00-11:30:00,36
,11:30:00-11:45:00,44
,11:45:00-12:00:00,41
,12:00:00-12:15:00,88
,12:15:00-12:30:00,50
,12:30:00-12:45:00,75
,12:45:00-13:00:00,52
,13:00:00-13:15:00,65
,13:15:00-13:30:00,53
,13:30:00-13:45:00,67
,13:45:00-14:00:00,53
,14:00:00-14:15:00,71
,14:15:00-14:30:00,56
,14:30:00-14:45:00,57
,14:45:00-15:00:00,74
,15:00:00-15:15:00,82
,15:15:00-15:30:00,88
,15:30:00-15:45:00,106
,15:45:00-16:00:00,63
,16:00:00-16:15:00,111
,16:15:00-16:30:00,92
,16:30:00-16:45:00,105
,16:45:00-17:00:00,86
,17:00:00-17:15:00,123
,17:15:00-17:30:00,120
,17:30:00-17:45:00,111
,17:45:00-18:00:00,106
,18:00:00-18:15:00,123
,18:15:00-18:30:00,120
,18:30:00-18:45:00,93
,18:45:00-19:00:00,87
,19:00:00-19:15:00,91
,19:15:00-19:30:00,89
,19:30:00-19:45:00,63
,19:45:00-20:00:00,43
,20:00:00-20:15:00,65
,20:15:00-20:30:00,51
,20:30:00-20:45:00,49
,20:45:00-21:00:00,47
,21:00:00-21:15:00,51
,21:15:00-21:30:00,45
,21:30:00-21:45:00,49
,21:45:00-22:00:00,33
,22:00:00-22:15:00,26
,22:15:00-22:30:00,45
,22:30:00-22:45:00,39
,22:45:00-23:00:00,18
,23:00:00-23:15:00,31
,23:15:00-23:30:00,18
,23:30:00-23:45:00,19
,23:45:00-00:00:00,20
Wednesday,00:00:00-00:15:00,23
,00:15:00-00:30:00,10
,00:30:00-00:45:00,8
,00:45:00-01:00:00,11
,01:00:00-01:15:00,13
,01:15:00-01:30:00,2
,01:30:00-01:45:00,9
,01:45:00-02:00:00,4
,02:00:00-02:15:00,5
,02:15:00-02:30:00,6
,02:30:00-02:45:00,7
,02:45:00-03:00:00,2
,03:00:00-03:15:00,2
,03:15:00-03:30:00,4
,03:30:00-03:45:00,3
,03:45:00-04:00:00,6
,04:00:00-04:15:00,11
,04:15:00-04:30:00,2
,04:30:00-04:45:00,4
,04:45:00-05:00:00,3
,05:00:00-05:15:00,11
,05:15:00-05:30:00,3
,05:30:00-05:45:00,11
,05:45:00-06:00:00,9
,06:00:00-06:15:00,16
,06:15:00-06:30:00,18
,06:30:00-06:45:00,32
,06:45:00-07:00:00,33
,07:00:00-07:15:00,65
,07:15:00-07:30:00,60
,07:30:00-07:45:00,82
,07:45:00-08:00:00,101
,08:00:00-08:15:00,119
,08:15:00-08:30:00,139
,08:30:00-08:45:00,111
,08:45:00-09:00:00,146
,09:00:00-09:15:00,97
,09:15:00-09:30:00,81
,09:30:00-09:45:00,75
,09:45:00-10:00:00,43
,10:00:00-10:15:00,71
,10:15:00-10:30:00,62
,10:30:00-10:45:00,58
,10:45:00-11:00:00,53
,11:00:00-11:15:00,48
,11:15:00-11:30:00,50
,11:30:00-11:45:00,62
,11:45:00-12:00:00,60
,12:00:00-12:15:00,65
,12:15:00-12:30:00,53
,12:30:00-12:45:00,96
,12:45:00-13:00:00,60
,13:00:00-13:15:00,99
,13:15:00-13:30:00,70
,13:30:00-13:45:00,63
,13:45:00-14:00:00,62
,14:00:00-14:15:00,81
,14:15:00-14:30:00,60
,14:30:00-14:45:00,85
,14:45:00-15:00:00,53
,15:00:00-15:15:00,82
,15:15:00-15:30:00,78
,15:30:00-15:45:00,133
,15:45:00-16:00:00,104
,16:00:00-16:15:00,103
,16:15:00-16:30:00,104
,16:30:00-16:45:00,104
,16:45:00-17:00:00,99
,17:00:00-17:15:00,120
,17:15:00-17:30:00,94
,17:30:00-17:45:00,135
,17:45:00-18:00:00,104
,18:00:00-18:15:00,105
,18:15:00-18:30:00,138
,18:30:00-18:45:00,119
,18:45:00-19:00:00,88
,19:00:00-19:15:00,88
,19:15:00-19:30:00,79
,19:30:00-19:45:00,62
,19:45:00-20:00:00,69
,20:00:00-20:15:00,79
,20:15:00-20:30:00,58
,20:30:00-20:45:00,44
,20:45:00-21:00:00,45
,21:00:00-21:15:00,52
,21:15:00-21:30:00,24
,21:30:00-21:45:00,33
,21:45:00-22:00:00,38
,22:00:00-22:15:00,34
,22:15:00-22:30:00,35
,22:30:00-22:45:00,31
,22:45:00-23:00:00,34
,23:00:00-23:15:00,24
,23:15:00-23:30:00,32
,23:30:00-23:45:00,27
,23:45:00-00:00:00,18
Thursday,00:00:00-00:15:00,6
,00:15:00-00:30:00,17
,00:30:00-00:45:00,16
,00:45:00-01:00:00,17
,01:00:00-01:15:00,4
,01:15:00-01:30:00,12
,01:30:00-01:45:00,8
,01:45:00-02:00:00,4
,02:00:00-02:15:00,12
,02:15:00-02:30:00,3
,02:30:00-02:45:00,5
,02:45:00-03:00:00,11
,03:00:00-03:15:00,0
,03:15:00-03:30:00,4
,03:30:00-03:45:00,5
,03:45:00-04:00:00,5
,04:00:00-04:15:00,5
,04:15:00-04:30:00,3
,04:30:00-04:45:00,8
,04:45:00-05:00:00,4
,05:00:00-05:15:00,7
,05:15:00-05:30:00,5
,05:30:00-05:45:00,11
,05:45:00-06:00:00,13
,06:00:00-06:15:00,8
,06:15:00-06:30:00,14
,06:30:00-06:45:00,38
,06:45:00-07:00:00,38
,07:00:00-07:15:00,42
,07:15:00-07:30:00,53
,07:30:00-07:45:00,78
,07:45:00-08:00:00,84
,08:00:00-08:15:00,135
,08:15:00-08:30:00,95
,08:30:00-08:45:00,153
,08:45:00-09:00:00,124
,09:00:00-09:15:00,115
,09:15:00-09:30:00,74
,09:30:00-09:45:00,67
,09:45:00-10:00:00,70
,10:00:00-10:15:00,43
,10:15:00-10:30:00,45
,10:30:00-10:45:00,64
,10:45:00-11:00:00,59
,11:00:00-11:15:00,58
,11:15:00-11:30:00,61
,11:30:00-11:45:00,65
,11:45:00-12:00:00,59
,12:00:00-12:15:00,79
,12:15:00-12:30:00,51
,12:30:00-12:45:00,68
,12:45:00-13:00:00,82
,13:00:00-13:15:00,87
,13:15:00-13:30:00,55
,13:30:00-13:45:00,61
,13:45:00-14:00:00,52
,14:00:00-14:15:00,64
,14:15:00-14:30:00,65
,14:30:00-14:45:00,75
,14:45:00-15:00:00,57
,15:00:00-15:15:00,109
,15:15:00-15:30:00,92
,15:30:00-15:45:00,122
,15:45:00-16:00:00,99
,16:00:00-16:15:00,110
,16:15:00-16:30:00,60
,16:30:00-16:45:00,83
,16:45:00-17:00:00,100
,17:00:00-17:15:00,143
,17:15:00-17:30:00,97
,17:30:00-17:45:00,108
,17:45:00-18:00:00,105
,18:00:00-18:15:00,117
,18:15:00-18:30:00,116
,18:30:00-18:45:00,96
,18:45:00-19:00:00,108
,19:00:00-19:15:00,105
,19:15:00-19:30:00,87
,19:30:00-19:45:00,89
,19:45:00-20:00:00,65
,20:00:00-20:15:00,73
,20:15:00-20:30:00,49
,20:30:00-20:45:00,48
,20:45:00-21:00:00,48
,21:00:00-21:15:00,41
,21:15:00-21:30:00,34
,21:30:00-21:45:00,40
,21:45:00-22:00:00,30
,22:00:00-22:15:00,26
,22:15:00-22:30:00,25
,22:30:00-22:45:00,34
,22:45:00-23:00:00,25
,23:00:00-23:15:00,30
,23:15:00-23:30:00,32
,23:30:00-23:45:00,27
,23:45:00-00:00:00,30
Friday,00:00:00-00:15:00,28
,00:15:00-00:30:00,29
,00:30:00-00:45:00,23
,00:45:00-01:00:00,10
,01:00:00-01:15:00,21
,01:15:00-01:30:00,8
,01:30:00-01:45:00,7
,01:45:00-02:00:00,7
,02:00:00-02:15:00,6
,02:15:00-02:30:00,9
,02:30:00-02:45:00,7
,02:45:00-03:00:00,7
,03:00:00-03:15:00,7
,03:15:00-03:30:00,3
,03:30:00-03:45:00,6
,03:45:00-04:00:00,10
,04:00:00-04:15:00,5
,04:15:00-04:30:00,5
,04:30:00-04:45:00,10
,04:45:00-05:00:00,2
,05:00:00-05:15:00,4
,05:15:00-05:30:00,2
,05:30:00-05:45:00,15
,05:45:00-06:00:00,18
,06:00:00-06:15:00,13
,06:15:00-06:30:00,20
,06:30:00-06:45:00,31
,06:45:00-07:00:00,45
,07:00:00-07:15:00,53
,07:15:00-07:30:00,58
,07:30:00-07:45:00,92
,07:45:00-08:00:00,88
,08:00:00-08:15:00,103
,08:15:00-08:30:00,107
,08:30:00-08:45:00,174
,08:45:00-09:00:00,143
,09:00:00-09:15:00,98
,09:15:00-09:30:00,58
,09:30:00-09:45:00,60
,09:45:00-10:00:00,55
,10:00:00-10:15:00,71
,10:15:00-10:30:00,43
,10:30:00-10:45:00,55
,10:45:00-11:00:00,53
,11:00:00-11:15:00,62
,11:15:00-11:30:00,65
,11:30:00-11:45:00,56
,11:45:00-12:00:00,61
,12:00:00-12:15:00,71
,12:15:00-12:30:00,49
,12:30:00-12:45:00,92
,12:45:00-13:00:00,75
,13:00:00-13:15:00,88
,13:15:00-13:30:00,59
,13:30:00-13:45:00,68
,13:45:00-14:00:00,71
,14:00:00-14:15:00,88
,14:15:00-14:30:00,47
,14:30:00-14:45:00,92
,14:45:00-15:00:00,79
,15:00:00-15:15:00,90
,15:15:00-15:30:00,76
,15:30:00-15:45:00,139
,15:45:00-16:00:00,99
,16:00:00-16:15:00,101
,16:15:00-16:30:00,101
,16:30:00-16:45:00,83
,16:45:00-17:00:00,102
,17:00:00-17:15:00,134
,17:15:00-17:30:00,127
,17:30:00-17:45:00,124
,17:45:00-18:00:00,117
,18:00:00-18:15:00,136
,18:15:00-18:30:00,110
,18:30:00-18:45:00,111
,18:45:00-19:00:00,80
,19:00:00-19:15:00,93
,19:15:00-19:30:00,80
,19:30:00-19:45:00,75
,19:45:00-20:00:00,75
,20:00:00-20:15:00,57
,20:15:00-20:30:00,57
,20:30:00-20:45:00,57
,20:45:00-21:00:00,36
,21:00:00-21:15:00,42
,21:15:00-21:30:00,28
,21:30:00-21:45:00,48
,21:45:00-22:00:00,49
,22:00:00-22:15:00,39
,22:15:00-22:30:00,40
,22:30:00-22:45:00,40
,22:45:00-23:00:00,31
,23:00:00-23:15:00,25
,23:15:00-23:30:00,39
,23:30:00-23:45:00,22
,23:45:00-00:00:00,38
Saturday,00:00:00-00:15:00,28
,00:15:00-00:30:00,20
,00:30:00-00:45:00,16
,00:45:00-01:00:00,8
,01:00:00-01:15:00,13
,01:15:00-01:30:00,13
,01:30:00-01:45:00,6
,01:45:00-02:00:00,13
,02:00:00-02:15:00,1
,02:15:00-02:30:00,17
,02:30:00-02:45:00,6
,02:45:00-03:00:00,3
,03:00:00-03:15:00,4
,03:15:00-03:30:00,7
,03:30:00-03:45:00,2
,03:45:00-04:00:00,11
