week,time,count
Monday,00:00:00-00:15:00,28
,00:15:00-00:30:00,16
,00:30:00-00:45:00,32
,00:45:00-01:00:00,21
,01:00:00-01:15:00,19
,01:15:00-01:30:00,21
,01:30:00-01:45:00,23
,01:45:00-02:00:00,18
,02:00:00-02:15:00,16
,02:15:00-02:30:00,15
,02:30:00-02:45:00,16
,02:45:00-03:00:00,16
,03:00:00-03:15:00,25
,03:15:00-03:30:00,10
,03:30:00-03:45:00,17
,03:45:00-04:00:00,18
,04:00:00-04:15:00,7
,04:15:00-04:30:00,12
,04:30:00-04:45:00,10
,04:45:00-05:00:00,8
,05:00:00-05:15:00,9
,05:15:00-05:30:00,6
,05:30:00-05:45:00,15
,05:45:00-06:00:00,10
,06:00:00-06:15:00,8
,06:15:00-06:30:00,12
,06:30:00-06:45:00,9
,06:45:00-07:00:00,13
,07:00:00-07:15:00,16
,07:15:00-07:30:00,7
,07:30:00-07:45:00,9
,07:45:00-08:00:00,9
,08:00:00-08:15:00,8
,08:15:00-08:30:00,9
,08:30:00-08:45:00,12
,08:45:00-09:00:00,10
,09:00:00-09:15:00,15
,09:15:00-09:30:00,16
,09:30:00-09:45:00,18
,09:45:00-10:00:00,16
,10:00:00-10:15:00,23
,10:15:00-10:30:00,23
,10:30:00-10:45:00,24
,10:45:00-11:00:00,32
,11:00:00-11:15:00,34
,11:15:00-11:30:00,25
,11:30:00-11:45:00,29
,11:45:00-12:00:00,24
,12:00:00-12:15:00,49
,12:15:00-12:30:00,24
,12:30:00-12:45:00,42
,12:45:00-13:00:00,33
,13:00:00-13:15:00,59
,13:15:00-13:30:00,47
,13:30:00-13:45:00,53
,13:45:00-14:00:00,34
,14:00:00-14:15:00,51
,14:15:00-14:30:00,39
,14:30:00-14:45:00,41
,14:45:00-15:00:00,40
,15:00:00-15:15:00,47
,15:15:00-15:30:00,43
,15:30:00-15:45:00,43
,15:45:00-16:00:00,45
,16:00:00-16:15:00,44
,16:15:00-16:30:00,38
,16:30:00-16:45:00,39
,16:45:00-17:00:00,35
,17:00:00-17:15:00,45
,17:15:00-17:30:00,38
,17:30:00-17:45:00,44
,17:45:00-18:00:00,40
,18:00:00-18:15:00,36
,18:15:00-18:30:00,38
,18:30:00-18:45:00,45
,18:45:00-19:00:00,43
,19:00:00-19:15:00,38
,19:15:00-19:30:00,31
,19:30:00-19:45:00,47
,19:45:00-20:00:00,36
,20:00:00-20:15:00,40
,20:15:00-20:30:00,20
,20:30:00-20:45:00,34
,20:45:00-21:00:00,22
,21:00:00-21:15:00,29
,21:15:00-21:30:00,31
,21:30:00-21:45:00,28
,21:45:00-22:00:00,26
,22:00:00-22:15:00,32
,22:15:00-22:30:00,18
,22:30:00-22:45:00,26
,22:45:00-23:00:00,16
,23:00:00-23:15:00,19
,23:15:00-23:30:00,15
,23:30:00-23:45:00,16
,23:45:00-00:00:00,11
Tuesday,00:00:00-00:15:00,10
,00:15:00-00:30:00,10
,00:30:00-00:45:00,11
,00:45:00-01:00:00,6
,01:00:00-01:15:00,5
,01:15:00-01:30:00,7
,01:30:00-01:45:00,5
,01:45:00-02:00:00,4
,02:00:00-02:15:00,6
,02:15:00-02:30:00,1
,02:30:00-02:45:00,0
,02:45:00-03:00:00,2
,03:00:00-03:15:00,4
,03:15:00-03:30:00,0
,03:30:00-03:45:00,4
,03:45:00-04:00:00,1
,04:00:00-04:15:00,2
,04:15:00-04:30:00,2
,04:30:00-04:45:00,4
,04:45:00-05:00:00,8
,05:00:00-05:15:00,7
,05:15:00-05:30:00,5
,05:30:00-05:45:00,9
,05:45:00-06:00:00,10
,06:00:00-06:15:00,14
,06:15:00-06:30:00,10
,06:30:00-06:45:00,23
,06:45:00-07:00:00,20
,07:00:00-07:15:00,32
,07:15:00-07:30:00,35
,07:30:00-07:45:00,44
,07:45:00-08:00:00,51
,08:00:00-08:15:00,68
,08:15:00-08:30:00,51
,08:30:00-08:45:00,85
,08:45:00-09:00:00,68
,09:00:00-09:15:00,70
,09:15:00-09:30:00,53
,09:30:00-09:45:00,56
,09:45:00-10:00:00,38
,10:00:00-10:15:00,38
,10:15:00-10:30:00,30
,10:30:00-10:45:00,42
,10:45:00-11:00:00,28
,11:00:00-11:15:00,45
,11:15:00-11:30:00,32
,11:30:00-11:45:00,44
,11:45:00-12:00:00,36
,12:00:00-12:15:00,47
,12:15:00-12:30:00,27
,12:30:00-12:45:00,40
,12:45:00-13:00:00,29
,13:00:00-13:15:00,47
,13:15:00-13:30:00,49
,13:30:00-13:45:00,51
,13:45:00-14:00:00,37
,14:00:00-14:15:00,47
,14:15:00-14:30:00,45
,14:30:00-14:45:00,44
,14:45:00-15:00:00,44
,15:00:00-15:15:00,49
,15:15:00-15:30:00,56
,15:30:00-15:45:00,76
,15:45:00-16:00:00,56
,16:00:00-16:15:00,75
,16:15:00-16:30:00,67
,16:30:00-16:45:00,63
,16:45:00-17:00:00,64
,17:00:00-17:15:00,68
,17:15:00-17:30:00,59
,17:30:00-17:45:00,60
,17:45:00-18:00:00,56
,18:00:00-18:15:00,82
,18:15:00-18:30:00,66
,18:30:00-18:45:00,79
,18:45:00-19:00:00,49
,19:00:00-19:15:00,45
,19:15:00-19:30:00,38
,19:30:00-19:45:00,50
,19:45:00-20:00:00,50
,20:00:00-20:15:00,37
,20:15:00-20:30:00,32
,20:30:00-20:45:00,25
,20:45:00-21:00:00,31
