week,time,count
Monday,00:00:00-00:15:00,20
,00:15:00-00:30:00,26
,00:30:00-00:45:00,31
,00:45:00-01:00:00,21
,01:00:00-01:15:00,25
,01:15:00-01:30:00,30
,01:30:00-01:45:00,29
,01:45:00-02:00:00,19
,02:00:00-02:15:00,26
,02:15:00-02:30:00,17
,02:30:00-02:45:00,22
,02:45:00-03:00:00,9
,03:00:00-03:15:00,23
,03:15:00-03:30:00,15
,03:30:00-03:45:00,23
,03:45:00-04:00:00,16
,04:00:00-04:15:00,14
,04:15:00-04:30:00,11
,04:30:00-04:45:00,15
,04:45:00-05:00:00,6
,05:00:00-05:15:00,14
,05:15:00-05:30:00,10
,05:30:00-05:45:00,10
,05:45:00-06:00:00,12
,06:00:00-06:15:00,6
,06:15:00-06:30:00,11
,06:30:00-06:45:00,11
,06:45:00-07:00:00,12
,07:00:00-07:15:00,16
,07:15:00-07:30:00,14
,07:30:00-07:45:00,15
,07:45:00-08:00:00,10
,08:00:00-08:15:00,8
,08:15:00-08:30:00,13
,08:30:00-08:45:00,19
,08:45:00-09:00:00,10
,09:00:00-09:15:00,21
,09:15:00-09:30:00,12
,09:30:00-09:45:00,24
,09:45:00-10:00:00,22
,10:00:00-10:15:00,25
,10:15:00-10:30:00,23
,10:30:00-10:45:00,28
,10:45:00-11:00:00,23
,11:00:00-11:15:00,36
,11:15:00-11:30:00,25
,11:30:00-11:45:00,37
,11:45:00-12:00:00,30
,12:00:00-12:15:00,47
,12:15:00-12:30:00,49
,12:30:00-12:45:00,46
,12:45:00-13:00:00,43
,13:00:00-13:15:00,55
,13:15:00-13:30:00,55
,13:30:00-13:45:00,51
,13:45:00-14:00:00,41
,14:00:00-14:15:00,45
,14:15:00-14:30:00,39
,14:30:00-14:45:00,46
,14:45:00-15:00:00,51
,15:00:00-15:15:00,45
,15:15:00-15:30:00,48
,15:30:00-15:45:00,54
,15:45:00-16:00:00,44
,16:00:00-16:15:00,51
,16:15:00-16:30:00,45
,16:30:00-16:45:00,44
,16:45:00-17:00:00,36
,17:00:00-17:15:00,45
,17:15:00-17:30:00,43
,17:30:00-17:45:00,41
,17:45:00-18:00:00,49
,18:00:00-18:15:00,41
,18:15:00-18:30:00,36
,18:30:00-18:45:00,32
,18:45:00-19:00:00,37
,19:00:00-19:15:00,34
,19:15:00-19:30:00,39
,19:30:00-19:45:00,41
,19:45:00-20:00:00,36
,20:00:00-20:15:00,38
,20:15:00-20:30:00,39
,20:30:00-20:45:00,35
,20:45:00-21:00:00,31
,21:00:00-21:15:00,38
,21:15:00-21:30:00,25
,21:30:00-21:45:00,24
,21:45:00-22:00:00,24
,22:00:00-22:15:00,20
,22:15:00-22:30:00,21
,22:30:00-22:45:00,22
,22:45:00-23:00:00,25
,23:00:00-23:15:00,31
,23:15:00-23:30:00,16
,23:30:00-23:45:00,20
,23:45:00-00:00:00,24
Tuesday,00:00:00-00:15:00,15
,00:15:00-00:30:00,5
,00:30:00-00:45:00,12
,00:45:00-01:00:00,6
,01:00:00-01:15:00,8
,01:15:00-01:30:00,8
,01:30:00-01:45:00,6
,01:45:00-02:00:00,6
,02:00:00-02:15:00,10
,02:15:00-02:30:00,3
,02:30:00-02:45:00,2
,02:45:00-03:00:00,7
,03:00:00-03:15:00,1
,03:15:00-03:30:00,9
,03:30:00-03:45:00,5
,03:45:00-04:00:00,1
,04:00:00-04:15:00,2
,04:15:00-04:30:00,2
,04:30:00-04:45:00,3
,04:45:00-05:00:00,4
,05:00:00-05:15:00,6
,05:15:00-05:30:00,4
,05:30:00-05:45:00,6
,05:45:00-06:00:00,12
,06:00:00-06:15:00,10
,06:15:00-06:30:00,5
,06:30:00-06:45:00,15
,06:45:00-07:00:00,27
,07:00:00-07:15:00,24
,07:15:00-07:30:00,26
,07:30:00-07:45:00,38
,07:45:00-08:00:00,37
,08:00:00-08:15:00,57
,08:15:00-08:30:00,74
,08:30:00-08:45:00,75
,08:45:00-09:00:00,90
,09:00:00-09:15:00,69
,09:15:00-09:30:00,54
,09:30:00-09:45:00,71
,09:45:00-10:00:00,35
,10:00:00-10:15:00,50
,10:15:00-10:30:00,36
,10:30:00-10:45:00,35
,10:45:00-11:00:00,30
,11:00:00-11:15:00,45
,11:15:00-11:30:00,36
,11:30:00-11:45:00,51
,11:45:00-12:00:00,33
,12:00:00-12:15:00,49
,12:15:00-12:30:00,29
,12:30:00-12:45:00,44
,12:45:00-13:00:00,39
,13:00:00-13:15:00,51
,13:15:00-13:30:00,58
,13:30:00-13:45:00,50
,13:45:00-14:00:00,38
,14:00:00-14:15:00,46
,14:15:00-14:30:00,30
,14:30:00-14:45:00,45
,14:45:00-15:00:00,51
,15:00:00-15:15:00,59
,15:15:00-15:30:00,52
,15:30:00-15:45:00,82
,15:45:00-16:00:00,60
,16:00:00-16:15:00,57
,16:15:00-16:30:00,52
,16:30:00-16:45:00,60
,16:45:00-17:00:00,47
