week,time,count
Monday,00:00:00-00:15:00,20
,00:15:00-00:30:00,24
,00:30:00-00:45:00,19
,00:45:00-01:00:00,21
,01:00:00-01:15:00,26
,01:15:00-01:30:00,23
,01:30:00-01:45:00,23
,01:45:00-02:00:00,13
,02:00:00-02:15:00,15
,02:15:00-02:30:00,15
,02:30:00-02:45:00,23
,02:45:00-03:00:00,12
,03:00:00-03:15:00,14
,03:15:00-03:30:00,14
,03:30:00-03:45:00,17
,03:45:00-04:00:00,11
,04:00:00-04:15:00,17
,04:15:00-04:30:00,11
,04:30:00-04:45:00,12
,04:45:00-05:00:00,14
,05:00:00-05:15:00,10
,05:15:00-05:30:00,13
,05:30:00-05:45:00,8
,05:45:00-06:00:00,8
,06:00:00-06:15:00,12
,06:15:00-06:30:00,15
,06:30:00-06:45:00,12
,06:45:00-07:00:00,10
,07:00:00-07:15:00,14
,07:15:00-07:30:00,14
,07:30:00-07:45:00,12
,07:45:00-08:00:00,18
,08:00:00-08:15:00,9
,08:15:00-08:30:00,12
,08:30:00-08:45:00,13
,08:45:00-09:00:00,21
,09:00:00-09:15:00,16
,09:15:00-09:30:00,21
,09:30:00-09:45:00,21
,09:45:00-10:00:00,15
,10:00:00-10:15:00,27
,10:15:00-10:30:00,27
,10:30:00-10:45:00,23
,10:45:00-11:00:00,27
,11:00:00-11:15:00,19
,11:15:00-11:30:00,30
,11:30:00-11:45:00,39
,11:45:00-12:00:00,35
,12:00:00-12:15:00,38
,12:15:00-12:30:00,40
,12:30:00-12:45:00,34
,12:45:00-13:00:00,26
,13:00:00-13:15:00,52
,13:15:00-13:30:00,44
,13:30:00-13:45:00,41
,13:45:00-14:00:00,42
,14:00:00-14:15:00,44
,14:15:00-14:30:00,52
,14:30:00-14:45:00,33
,14:45:00-15:00:00,43
,15:00:00-15:15:00,41
,15:15:00-15:30:00,33
,15:30:00-15:45:00,39
,15:45:00-16:00:00,43
,16:00:00-16:15:00,36
,16:15:00-16:30:00,36
,16:30:00-16:45:00,45
,16:45:00-17:00:00,30
,17:00:00-17:15:00,45
,17:15:00-17:30:00,35
,17:30:00-17:45:00,36
,17:45:00-18:00:00,40
,18:00:00-18:15:00,55
,18:15:00-18:30:00,51
,18:30:00-18:45:00,51
,18:45:00-19:00:00,41
,19:00:00-19:15:00,43
,19:15:00-19:30:00,44
,19:30:00-19:45:00,39
,19:45:00-20:00:00,32
,20:00:00-20:15:00,33
,20:15:00-20:30:00,31
,20:30:00-20:45:00,31
,20:45:00-21:00:00,25
,21:00:00-21:15:00,30
,21:15:00-21:30:00,18
,21:30:00-21:45:00,24
,21:45:00-22:00:00,23
,22:00:00-22:15:00,29
,22:15:00-22:30:00,18
,22:30:00-22:45:00,22
,22:45:00-23:00:00,20
,23:00:00-23:15:00,14
,23:15:00-23:30:00,20
,23:30:00-23:45:00,14
,23:45:00-00:00:00,15
Tuesday,00:00:00-00:15:00,16
,00:15:00-00:30:00,10
,00:30:00-00:45:00,11
,00:45:00-01:00:00,6
,01:00:00-01:15:00,11
,01:15:00-01:30:00,11
,01:30:00-01:45:00,5
,01:45:00-02:00:00,1
,02:00:00-02:15:00,7
,02:15:00-02:30:00,3
,02:30:00-02:45:00,6
,02:45:00-03:00:00,3
,03:00:00-03:15:00,3
,03:15:00-03:30:00,4
,03:30:00-03:45:00,1
,03:45:00-04:00:00,4
,04:00:00-04:15:00,7
,04:15:00-04:30:00,5
,04:30:00-04:45:00,2
,04:45:00-05:00:00,1
,05:00:00-05:15:00,2
,05:15:00-05:30:00,8
,05:30:00-05:45:00,7
,05:45:00-06:00:00,10
,06:00:00-06:15:00,6
,06:15:00-06:30:00,8
,06:30:00-06:45:00,17
,06:45:00-07:00:00,28
,07:00:00-07:15:00,32
,07:15:00-07:30:00,34
,07:30:00-07:45:00,43
,07:45:00-08:00:00,58
,08:00:00-08:15:00,75
,08:15:00-08:30:00,75
,08:30:00-08:45:00,84
,08:45:00-09:00:00,90
,09:00:00-09:15:00,59
,09:15:00-09:30:00,39
,09:30:00-09:45:00,50
,09:45:00-10:00:00,37
,10:00:00-10:15:00,43
,10:15:00-10:30:00,35
,10:30:00-10:45:00,45
,10:45:00-11:00:00,32
,11:00:00-11:15:00,46
,11:15:00-11:30:00,27
,11:30:00-11:45:00,44
,11:45:00-12:00:00,31
,12:00:00-12:15:00,46
,12:15:00-12:30:00,39
,12:30:00-12:45:00,36
,12:45:00-13:00:00,37
,13:00:00-13:15:00,49
,13:15:00-13:30:00,55
,13:30:00-13:45:00,41
,13:45:00-14:00:00,35
,14:00:00-14:15:00,64
,14:15:00-14:30:00,29
,14:30:00-14:45:00,41
,14:45:00-15:00:00,40
,15:00:00-15:15:00,57
,15:15:00-15:30:00,59
,15:30:00-15:45:00,80
,15:45:00-16:00:00,73
,16:00:00-16:15:00,75
,16:15:00-16:30:00,59
,16:30:00-16:45:00,62
,16:45:00-17:00:00,66
,17:00:00-17:15:00,86
,17:15:00-17:30:00,67
,17:30:00-17:45:00,72
,17:45:00-18:00:00,70
,18:00:00-18:15:00,82
,18:15:00-18:30:00,78
,18:30:00-18:45:00,84
,18:45:00-19:00:00,61
,19:00:00-19:15:00,65
,19:15:00-19:30:00,45
,19:30:00-19:45:00,56
,19:45:00-20:00:00,47
,20:00:00-20:15:00,50
,20:15:00-20:30:00,37
,20:30:00-20:45:00,33
,20:45:00-21:00:00,15
,21:00:00-21:15:00,42
,21:15:00-21:30:00,18
,21:30:00-21:45:00,26
,21:45:00-22:00:00,9
,22:00:00-22:15:00,18
,22:15:00-22:30:00,18
,22:30:00-22:45:00,18
,22:45:00-23:00:00,19
,23:00:00-23:15:00,16
,23:15:00-23:30:00,12
,23:30:00-23:45:00,17
,23:45:00-00:00:00,13
Wednesday,00:00:00-00:15:00,11
,00:15:00-00:30:00,11
,00:30:00-00:45:00,8
,00:45:00-01:00:00,5
,01:00:00-01:15:00,14
,01:15:00-01:30:00,4
,01:30:00-01:45:00,5
,01:45:00-02:00:00,7
,02:00:00-02:15:00,4
,02:15:00-02:30:00,4
,02:30:00-02:45:00,2
,02:45:00-03:00:00,1
,03:00:00-03:15:00,4
,03:15:00-03:30:00,12
,03:30:00-03:45:00,4
,03:45:00-04:00:00,1
,04:00:00-04:15:00,5
,04:15:00-04:30:00,3
,04:30:00-04:45:00,5
,04:45:00-05:00:00,0
,05:00:00-05:15:00,1
,05:15:00-05:30:00,2
,05:30:00-05:45:00,8
,05:45:00-06:00:00,9
,06:00:00-06:15:00,10
,06:15:00-06:30:00,17
,06:30:00-06:45:00,21
,06:45:00-07:00:00,24
,07:00:00-07:15:00,42
,07:15:00-07:30:00,39
,07:30:00-07:45:00,64
,07:45:00-08:00:00,61
,08:00:00-08:15:00,82
,08:15:00-08:30:00,79
,08:30:00-08:45:00,101
,08:45:00-09:00:00,107
,09:00:00-09:15:00,73
,09:15:00-09:30:00,67
,09:30:00-09:45:00,55
,09:45:00-10:00:00,46
,10:00:00-10:15:00,31
,10:15:00-10:30:00,27
,10:30:00-10:45:00,40
,10:45:00-11:00:00,29
,11:00:00-11:15:00,42
,11:15:00-11:30:00,26
,11:30:00-11:45:00,40
,11:45:00-12:00:00,50
,12:00:00-12:15:00,55
,12:15:00-12:30:00,44
,12:30:00-12:45:00,39
,12:45:00-13:00:00,38
,13:00:00-13:15:00,47
,13:15:00-13:30:00,49
,13:30:00-13:45:00,55
,13:45:00-14:00:00,51
,14:00:00-14:15:00,50
,14:15:00-14:30:00,51
,14:30:00-14:45:00,45
,14:45:00-15:00:00,51
,15:00:00-15:15:00,65
,15:15:00-15:30:00,84
,15:30:00-15:45:00,73
,15:45:00-16:00:00,60
,16:00:00-16:15:00,66
,16:15:00-16:30:00,54
,16:30:00-16:45:00,76
,16:45:00-17:00:00,80
,17:00:00-17:15:00,90
,17:15:00-17:30:00,83
,17:30:00-17:45:00,97
,17:45:00-18:00:00,86
