week,time,count
Monday,00:00:00-00:15:00,21
,00:15:00-00:30:00,24
,00:30:00-00:45:00,43
,00:45:00-01:00:00,23
,01:00:00-01:15:00,29
,01:15:00-01:30:00,19
,01:30:00-01:45:00,20
,01:45:00-02:00:00,16
,02:00:00-02:15:00,22
,02:15:00-02:30:00,14
,02:30:00-02:45:00,12
,02:45:00-03:00:00,10
,03:00:00-03:15:00,19
,03:15:00-03:30:00,14
,03:30:00-03:45:00,18
,03:45:00-04:00:00,13
,04:00:00-04:15:00,20
,04:15:00-04:30:00,9
,04:30:00-04:45:00,13
,04:45:00-05:00:00,7
,05:00:00-05:15:00,18
,05:15:00-05:30:00,7
,05:30:00-05:45:00,7
,05:45:00-06:00:00,6
,06:00:00-06:15:00,8
,06:15:00-06:30:00,14
,06:30:00-06:45:00,10
,06:45:00-07:00:00,13
,07:00:00-07:15:00,8
,07:15:00-07:30:00,6
,07:30:00-07:45:00,11
,07:45:00-08:00:00,11
,08:00:00-08:15:00,11
,08:15:00-08:30:00,8
,08:30:00-08:45:00,14
,08:45:00-09:00:00,11
,09:00:00-09:15:00,19
,09:15:00-09:30:00,18
,09:30:00-09:45:00,24
,09:45:00-10:00:00,19
,10:00:00-10:15:00,15
,10:15:00-10:30:00,31
,10:30:00-10:45:00,28
,10:45:00-11:00:00,20
,11:00:00-11:15:00,28
,11:15:00-11:30:00,23
,11:30:00-11:45:00,31
,11:45:00-12:00:00,44
,12:00:00-12:15:00,53
,12:15:00-12:30:00,48
,12:30:00-12:45:00,41
,12:45:00-13:00:00,37
,13:00:00-13:15:00,52
,13:15:00-13:30:00,29
,13:30:00-13:45:00,42
,13:45:00-14:00:00,44
,14:00:00-14:15:00,58
,14:15:00-14:30:00,30
,14:30:00-14:45:00,48
,14:45:00-15:00:00,42
,15:00:00-15:15:00,46
,15:15:00-15:30:00,39
,15:30:00-15:45:00,45
,15:45:00-16:00:00,33
,16:00:00-16:15:00,50
,16:15:00-16:30:00,32
,16:30:00-16:45:00,42
,16:45:00-17:00:00,48
,17:00:00-17:15:00,49
,17:15:00-17:30:00,40
,17:30:00-17:45:00,34
,17:45:00-18:00:00,35
,18:00:00-18:15:00,29
,18:15:00-18:30:00,53
,18:30:00-18:45:00,36
,18:45:00-19:00:00,49
,19:00:00-19:15:00,42
,19:15:00-19:30:00,47
,19:30:00-19:45:00,42
,19:45:00-20:00:00,20
,20:00:00-20:15:00,31
,20:15:00-20:30:00,25
,20:30:00-20:45:00,28
,20:45:00-21:00:00,29
,21:00:00-21:15:00,18
,21:15:00-21:30:00,19
,21:30:00-21:45:00,28
,21:45:00-22:00:00,22
,22:00:00-22:15:00,26
,22:15:00-22:30:00,25
,22:30:00-22:45:00,21
,22:45:00-23:00:00,13
,23:00:00-23:15:00,16
,23:15:00-23:30:00,19
,23:30:00-23:45:00,9
,23:45:00-00:00:00,12
Tuesday,00:00:00-00:15:00,11
,00:15:00-00:30:00,8
,00:30:00-00:45:00,12
,00:45:00-01:00:00,14
,01:00:00-01:15:00,9
,01:15:00-01:30:00,7
,01:30:00-01:45:00,5
,01:45:00-02:00:00,4
,02:00:00-02:15:00,7
,02:15:00-02:30:00,3
,02:30:00-02:45:00,5
,02:45:00-03:00:00,1
,03:00:00-03:15:00,3
,03:15:00-03:30:00,5
,03:30:00-03:45:00,6
,03:45:00-04:00:00,1
,04:00:00-04:15:00,1
,04:15:00-04:30:00,3
,04:30:00-04:45:00,2
,04:45:00-05:00:00,2
,05:00:00-05:15:00,5
,05:15:00-05:30:00,5
,05:30:00-05:45:00,4
,05:45:00-06:00:00,12
,06:00:00-06:15:00,13
,06:15:00-06:30:00,21
,06:30:00-06:45:00,23
,06:45:00-07:00:00,34
,07:00:00-07:15:00,40
,07:15:00-07:30:00,40
,07:30:00-07:45:00,66
,07:45:00-08:00:00,47
