week,time,count
Monday,00:00:00-00:15:00,24
,00:15:00-00:30:00,24
,00:30:00-00:45:00,15
,00:45:00-01:00:00,20
,01:00:00-01:15:00,28
,01:15:00-01:30:00,13
,01:30:00-01:45:00,24
,01:45:00-02:00:00,17
,02:00:00-02:15:00,23
,02:15:00-02:30:00,12
,02:30:00-02:45:00,18
,02:45:00-03:00:00,18
,03:00:00-03:15:00,18
,03:15:00-03:30:00,13
,03:30:00-03:45:00,16
,03:45:00-04:00:00,10
,04:00:00-04:15:00,21
,04:15:00-04:30:00,15
,04:30:00-04:45:00,11
,04:45:00-05:00:00,9
,05:00:00-05:15:00,9
,05:15:00-05:30:00,10
,05:30:00-05:45:00,10
,05:45:00-06:00:00,14
,06:00:00-06:15:00,9
,06:15:00-06:30:00,7
,06:30:00-06:45:00,12
,06:45:00-07:00:00,13
,07:00:00-07:15:00,10
,07:15:00-07:30:00,12
,07:30:00-07:45:00,10
,07:45:00-08:00:00,9
,08:00:00-08:15:00,14
,08:15:00-08:30:00,7
,08:30:00-08:45:00,17
,08:45:00-09:00:00,15
,09:00:00-09:15:00,23
,09:15:00-09:30:00,11
,09:30:00-09:45:00,15
,09:45:00-10:00:00,17
,10:00:00-10:15:00,32
,10:15:00-10:30:00,25
,10:30:00-10:45:00,25
,10:45:00-11:00:00,26
,11:00:00-11:15:00,31
,11:15:00-11:30:00,24
,11:30:00-11:45:00,28
,11:45:00-12:00:00,27
,12:00:00-12:15:00,34
,12:15:00-12:30:00,32
,12:30:00-12:45:00,33
,12:45:00-13:00:00,30
,13:00:00-13:15:00,40
,13:15:00-13:30:00,48
,13:30:00-13:45:00,47
,13:45:00-14:00:00,37
,14:00:00-14:15:00,48
,14:15:00-14:30:00,25
,14:30:00-14:45:00,40
,14:45:00-15:00:00,39
,15:00:00-15:15:00,38
,15:15:00-15:30:00,38
,15:30:00-15:45:00,44
,15:45:00-16:00:00,43
,16:00:00-16:15:00,42
,16:15:00-16:30:00,32
,16:30:00-16:45:00,48
,16:45:00-17:00:00,34
,17:00:00-17:15:00,38
,17:15:00-17:30:00,31
,17:30:00-17:45:00,43
,17:45:00-18:00:00,37
,18:00:00-18:15:00,35
,18:15:00-18:30:00,53
,18:30:00-18:45:00,37
,18:45:00-19:00:00,33
,19:00:00-19:15:00,45
,19:15:00-19:30:00,21
,19:30:00-19:45:00,35
,19:45:00-20:00:00,19
,20:00:00-20:15:00,48
,20:15:00-20:30:00,38
,20:30:00-20:45:00,24
,20:45:00-21:00:00,23
,21:00:00-21:15:00,20
,21:15:00-21:30:00,17
,21:30:00-21:45:00,30
,21:45:00-22:00:00,17
,22:00:00-22:15:00,22
,22:15:00-22:30:00,18
,22:30:00-22:45:00,27
,22:45:00-23:00:00,19
,23:00:00-23:15:00,22
,23:15:00-23:30:00,18
,23:30:00-23:45:00,14
